,Census Tract,Median Income,CT,Total Population,Voting Population,White,White %,White Voting Population,Black or African American,Black or African American %,Black or African American Voting Population,American Indian and Alaska Native,American Indian and Alaska Native %,American Indian and Alaska Native Voting Population,Asian,Asian %,Asian Voting Population,Native Hawaiian and Other Pacific Islander alone,Native Hawaiian and Other Pacific Islander %,Native Hawaiian and Other Pacific Islander Voting Population,Some other race,Some other race %,Some other race Voting Population,Two or more races,Two or more races %,Two or more races Voting Population
48,Census Tract 40.11,110036,004011,2974,2483,1067,0.35877605918,890.840954943,282,0.0948217888366,235.442501681,0,0.0,0.0,1364,0.458641560188,1138.80699395,69,0.0232010759919,57.608271688,88,0.0295897780767,73.4714189644,104,0.034969737727,86.8298587761
49,Census Tract 40.12,108500,004012,3503,2842,1672,0.477305167,1356.50128461,346,0.0987724807308,280.711390237,0,0.0,0.0,1060,0.302597773337,859.982871824,0,0.0,0.0,59,0.0168427062518,47.8669711676,366,0.104481872681,296.937482158
50,Census Tract 41,27474,004100,4979,3448,2087,0.419160473991,1445.26531432,615,0.123518778871,425.892749548,70,0.0140590480016,48.4755975095,1637,0.328780879695,1133.63647319,49,0.00984133360112,33.9329182567,312,0.0626631853786,216.062663185,209,0.0419763004619,144.734283993
51,Census Tract 42.01,43929,004201,5411,3928,2618,0.48382923674,1900.48124191,1342,0.248013306228,974.196266864,22,0.00406579190538,15.9704306043,763,0.141009055627,553.883570505,0,0.0,0.0,450,0.0831639253373,326.667898725,216,0.0399186841619,156.800591388
52,Census Tract 42.02,35747,004202,5485,3931,1919,0.349863263446,1375.31248861,1139,0.207657247037,816.300638104,59,0.0107566089335,42.2842297174,1232,0.224612579763,882.952051048,330,0.0601640838651,236.505013674,552,0.10063810392,395.608386509,254,0.0463081130356,182.037192343
53,Census Tract 42.03,30142,004203,5492,3577,2000,0.364166059723,1302.62199563,1182,0.215222141296,769.849599417,0,0.0,0.0,1161,0.211398397669,756.172068463,247,0.0449745083758,160.87381646,272,0.0495265841224,177.156591406,630,0.114712308813,410.325928623
54,Census Tract 43,42166,004300,9293,6751,2503,0.269342515872,1818.33132465,2040,0.219520068869,1481.97998493,5,0.000538039384483,3.63230388464,1887,0.203056063704,1370.83148606,1270,0.136662003659,922.6051867,408,0.0439040137738,296.395996987,1180,0.126977294738,857.223716776
55,Census Tract 44.01,33125,004401,3911,3097,1315,0.33623114293,1041.30784965,827,0.211454870877,654.875735106,51,0.0130401431859,40.3853234467,877,0.224239324981,694.469189466,4,0.0010227563283,3.16747634876,478,0.122219381232,378.513423677,359,0.0917923804654,284.281002301
56,Census Tract 44.02,24225,004402,4688,3064,2014,0.429607508532,1316.31740614,493,0.105162116041,322.216723549,0,0.0,0.0,771,0.164462457338,503.912969283,0,0.0,0.0,1032,0.220136518771,674.498293515,378,0.0806313993174,247.054607509
57,Census Tract 45.01,25814,004501,3056,2208,1107,0.362238219895,799.821989529,279,0.0912958115183,201.581151832,64,0.020942408377,46.2408376963,1044,0.341623036649,754.303664921,212,0.0693717277487,153.172774869,335,0.109620418848,242.041884817,15,0.00490837696335,10.8376963351
58,Census Tract 45.02,24577,004502,4850,3236,1939,0.399793814433,1293.73278351,937,0.193195876289,625.18185567,11,0.00226804123711,7.3393814433,464,0.0956701030928,309.588453608,335,0.0690721649485,223.517525773,910,0.187628865979,607.167010309,254,0.0523711340206,169.472989691
59,Census Tract 46.01,27299,004601,7578,5154,3129,0.412905779889,2128.11638955,1401,0.184877276326,952.857482185,74,0.00976510952758,50.3293745051,1275,0.168250197941,867.16152019,19,0.00250725785168,12.9224069675,1113,0.146872525732,756.980997625,567,0.0748218527316,385.631828979
60,Census Tract 46.02,34118,004602,4813,3440,2895,0.601495948473,2069.14606275,423,0.087886972782,302.33118637,30,0.00623311863702,21.4419281114,427,0.088718055267,305.190110118,4,0.000831082484937,2.85892374818,664,0.137959692499,474.581342198,370,0.0768751298566,264.450446707
61,Census Tract 47.01,24000,004701,3418,2303,1455,0.425687536571,980.358396723,439,0.128437682855,295.791983616,44,0.0128730251609,29.6465769456,777,0.227325921592,523.531597425,12,0.00351082504389,8.08543007607,616,0.180222352253,415.052077238,75,0.0219426565243,50.5339379754
62,Census Tract 47.02,29495,004702,5450,3587,2137,0.392110091743,1406.49889908,962,0.176513761468,633.154862385,202,0.0370642201835,132.949357798,1064,0.195229357798,700.287706422,33,0.00605504587156,21.7194495413,564,0.103486238532,371.205137615,488,0.0895412844037,321.184587156
63,Census Tract 48.01,34457,004801,5751,4408,1337,0.232481307599,1024.77760389,828,0.143974960876,634.641627543,0,0.0,0.0,2632,0.457659537472,2017.36324118,119,0.0206920535559,91.2105720744,645,0.112154407929,494.376630151,190,0.0330377325682,145.630325161
64,Census Tract 48.02,34161,004802,4799,3346,1656,0.345071889977,1154.61054386,672,0.140029172744,468.537612003,29,0.0060429256095,20.2196290894,1479,0.308189206085,1031.20108356,35,0.00729318608043,24.4030006251,617,0.128568451761,430.190039592,311,0.0648051677433,216.838091269
65,Census Tract 49.03,31717,004903,7147,5056,2065,0.288932419197,1460.84231146,1762,0.246537008535,1246.49111515,18,0.00251853924724,12.733734434,2401,0.335945151812,1698.53868756,238,0.0333006856024,168.368266405,322,0.0450538687561,227.792360431,341,0.0477123268504,241.233524556
